town_number,town
3565,RIMMONIM                 
616,RINNATYA                 
922,REKHASIM                 
1069,RAM-ON                   
4702,RAMOT                    
206,RAMOT HASHAVIM           
735,RAMOT ME'IR              
445,RAMOT MENASHE            
372,RAMOT NAFTALI            
8500,RAMLA                    
8600,RAMAT GAN                
135,RAMAT DAWID              
184,RAMAT HAKOVESH           
335,RAMAT HASHOFET           
2650,RAMAT HASHARON           
178,RAMAT YOHANAN            
122,RAMAT YISHAY             
4701,RAMAT MAGSHIMIM          
339,RAMAT ZEVI               
460,RAMAT RAZI'EL            
127,RAMAT RAHEL              
789,RANNEN                   
713,RE'IM                    
8700,RA'ANANA                 
1228,RAQEFET                  
247,RISHPON                  
437,RESHAFIM                 
1260,RETAMIM                  
324,SHE'AR YASHUV            
1377,SHAVE DAROM              
282,SHAVE ZIYYON             
3571,SHAVE SHOMERON           
913,SHIBLI                   
1286,SEGEV-SHALOM             
721,SEDE ILAN                
304,SEDE ELIYYAHU            
861,SEDE ELI'EZER            
885,SEDE BOQER               
36,SEDE DAWID               
284,SEDE WARBURG             
293,SEDE YO'AV               
142,SEDE YA'AQOV             
2008,SEDE YIZHAQ              
18,SEDE MOSHE               
259,SEDE NAHUM               
329,SEDE NEHEMYA             
1058,SEDE NIZZAN              
739,SEDE UZZIYYAHU           
2049,SEDE ZEVI                
327,SEDOT YAM                
27,SEDOT MIKHA              
1223,SEDE AVRAHAM             
2015,SEDE HEMED               
2057,SEDE TERUMOT             
555,SHEDEMA                  
306,SHADMOT DEVORA           
3578,SHADMOT MEHOLA           
1031,SEDEROT                  
741,SHO'EVA                  
761,SHUVA                    
394,SHOVAL                   
1304,SHOHAM                   
614,SHOMERA                  
1265,SHOMERIYYA               
415,SHOQEDA                  
456,SHORESH                  
1235,SHORASHIM                
224,SHOSHANNAT HAAMAQIM      
527,SHEZOR                   
7,SHAHAR                   
1266,SHAHARUT                 
865,SHIBBOLIM                
1267,NAHAL SHITTIM            
658,SHEIKH DANNUN            
3641,SHILO                    
1165,SHILAT                   
1160,SHEKHANYA                
873,SHALWA                   
1373,SHALVA BAMIDBAR          
439,SHELUHOT                 
812,SHELOMI                  
1364,                         
366,SHAMIR                   
3784,SHIM'A                   
432,SHAMERAT                 
1337,                         
1287,SHANI                    
1132,SENIR                    
538,SHA'AB                   
1299,SE'ORIM                  
4009,SHA'AL                   
856,SHA'ALVIM                
661,SHA'AR EFRAYIM           
264,SHA'AR HAGOLAN           
237,SHA'AR HAAMAQIM          
921,SHA'AR MENASHE           
3720,SHA'ARE TIQWA            
232,SHEFAYIM                 
692,SHAFIR                   
846,SHEFER                   
8800,SHEFAR'AM                
3649,SHAQED                   
1233,SHEQEF                   
292,SHARONA                  
1114,LI-ON                    
126,SARID                    
398,SHARSHERET               
1045,SHETULA                  
763,SHETULIM                 
2062,TE'ASHUR                 
2061,TIDHAR                   
1172,TUVAL                    
3558,TOMER                    
1083,TUSHIYYA                 
163,TIMMORIM                 
10,TIROSH                   
5000,TEL AVIV - YAFO          
84,TEL YOSEF                
287,TEL YIZHAQ               
154,TEL MOND                 
103,TEL ADASHIM              
719,TEL QAZIR                
1054,TEL SHEVA                
1283,TEL TE'OMIM              
3719,TELEM                    
1051,TALME ELIYYAHU           
2003,TALME EL'AZAR            
2050,TALME BILU               
1237,TALME YOSEF              
727,TALME YEHI'EL            
744,TALME YAFE               
814,TELAMIM                  
1244,TIMRAT                   
2002,TENUVOT                  
752,TA'OZ                    
709,TIFRAH                   
665,TEQUMA                   
3563,TEQOA                    
970,TARABIN AS-SANI          
1346,                         
778,TARUM                    
