"","town_number","town_h","year","property_crimes","motor_thefts","drugs","assults","sexual_assult","robberies","spousal","town","total","town_type"
"173",1274,"<U+05D2><U+05DF> <U+05E0><U+05E8>",2012,9,0,5,3,0,0,1,"GAN NER",2905,NA
"174",1274,"<U+05D2><U+05DF> <U+05E0><U+05E8>",2013,13,0,0,5,0,0,8,"GAN NER",2905,NA
"175",229,"<U+05D2><U+05E0><U+05D9> <U+05EA><U+05E7><U+05D5><U+05D4>",2011,176,50,17,22,2,0,25,"GANNE TIQWA",19739,"jewish"
"176",229,"<U+05D2><U+05E0><U+05D9> <U+05EA><U+05E7><U+05D5><U+05D4>",2012,179,50,28,26,5,0,18,"GANNE TIQWA",19739,"jewish"
"177",229,"<U+05D2><U+05E0><U+05D9> <U+05EA><U+05E7><U+05D5><U+05D4>",2013,168,28,26,29,3,1,18,"GANNE TIQWA",19739,"jewish"
"178",541,"<U+05D2><U+05E1><U+05E8> <U+05D0>-<U+05D6><U+05E8><U+05E7><U+05D0>",2011,280,4,204,161,3,2,41,"JISR AZ-ZARQA",14757,"arab"
"179",541,"<U+05D2><U+05E1><U+05E8> <U+05D0>-<U+05D6><U+05E8><U+05E7><U+05D0>",2012,347,9,247,229,4,9,48,"JISR AZ-ZARQA",14757,"arab"
"180",541,"<U+05D2><U+05E1><U+05E8> <U+05D0>-<U+05D6><U+05E8><U+05E7><U+05D0>",2013,340,2,223,201,5,3,43,"JISR AZ-ZARQA",14757,"arab"
"181",494,"<U+05D3><U+05D0><U+05DC><U+05D9><U+05EA> <U+05D0><U+05DC>-<U+05DB>",2011,135,4,16,97,4,5,33,"DALIYAT AL-KARMEL",17274,NA
"182",494,"<U+05D3><U+05D0><U+05DC><U+05D9><U+05EA> <U+05D0><U+05DC>-<U+05DB>",2012,89,9,31,61,3,0,21,"DALIYAT AL-KARMEL",17274,NA
"183",494,"<U+05D3><U+05D0><U+05DC><U+05D9><U+05EA> <U+05D0><U+05DC>-<U+05DB>",2013,84,4,15,56,5,0,28,"DALIYAT AL-KARMEL",17274,NA
"184",489,"<U+05D3><U+05D1><U+05D5><U+05E8><U+05D9><U+05D4>",2011,115,16,5,30,3,9,12,"DABBURYE",10396,"arab"
"185",489,"<U+05D3><U+05D1><U+05D5><U+05E8><U+05D9><U+05D4>",2012,94,10,11,44,3,4,5,"DABBURYE",10396,"arab"
"186",489,"<U+05D3><U+05D1><U+05D5><U+05E8><U+05D9><U+05D4>",2013,82,5,7,45,2,4,11,"DABBURYE",10396,"arab"
"187",2200,"<U+05D3><U+05D9><U+05DE><U+05D5><U+05E0><U+05D4>",2011,562,61,118,226,29,12,130,"DIMONA",38610,"jewish"
"188",2200,"<U+05D3><U+05D9><U+05DE><U+05D5><U+05E0><U+05D4>",2012,661,26,111,261,31,13,166,"DIMONA",38610,"jewish"
"189",2200,"<U+05D3><U+05D9><U+05DE><U+05D5><U+05E0><U+05D4>",2013,811,50,174,329,53,15,182,"DIMONA",38610,"jewish"
"190",492,"<U+05D3><U+05D9><U+05E8> <U+05D7><U+05E0><U+05D0>",2011,44,3,20,38,0,0,17,"DEIR HANNA",10530,NA
"191",492,"<U+05D3><U+05D9><U+05E8> <U+05D7><U+05E0><U+05D0>",2012,50,2,18,61,4,1,20,"DEIR HANNA",10530,NA
"192",492,"<U+05D3><U+05D9><U+05E8> <U+05D7><U+05E0><U+05D0>",2013,44,1,29,54,1,1,14,"DEIR HANNA",10530,NA
"193",9700,"<U+05D4><U+05D5><U+05D3> <U+05D4><U+05E9><U+05E8><U+05D5><U+05DF>",2011,1170,254,46,188,19,4,138,"HOD HASHARON",63460,"jewish"
"194",9700,"<U+05D4><U+05D5><U+05D3> <U+05D4><U+05E9><U+05E8><U+05D5><U+05DF>",2012,1257,247,58,153,58,8,103,"HOD HASHARON",63460,"jewish"
"195",9700,"<U+05D4><U+05D5><U+05D3> <U+05D4><U+05E9><U+05E8><U+05D5><U+05DF>",2013,1179,211,71,148,29,8,107,"HOD HASHARON",63460,"jewish"
"196",3769,"<U+05D4><U+05E8> <U+05D0><U+05D3><U+05E8>",2011,15,0,0,8,1,0,1,"HAR ADAR",4352,NA
"197",3769,"<U+05D4><U+05E8> <U+05D0><U+05D3><U+05E8>",2012,14,0,2,6,1,0,4,"HAR ADAR",4352,NA
"198",3769,"<U+05D4><U+05E8> <U+05D0><U+05D3><U+05E8>",2013,16,0,0,6,0,0,5,"HAR ADAR",4352,NA
"199",6400,"<U+05D4><U+05E8><U+05E6><U+05DC><U+05D9><U+05D4>",2011,2034,209,349,328,46,13,196,"HERZELIYYA",105608,"jewish"
"200",6400,"<U+05D4><U+05E8><U+05E6><U+05DC><U+05D9><U+05D4>",2012,2378,199,368,361,38,13,220,"HERZELIYYA",105608,"jewish"
"201",6400,"<U+05D4><U+05E8><U+05E6><U+05DC><U+05D9><U+05D4>",2013,2138,156,318,343,51,13,191,"HERZELIYYA",105608,"jewish"
"202",9300,"<U+05D6><U+05DB><U+05E8><U+05D5><U+05DF> <U+05D9><U+05E2><U+05E7><U+05D1>",2011,401,53,91,59,14,0,40,"ZIKHRON YA'AQOV",24474,NA
"203",9300,"<U+05D6><U+05DB><U+05E8><U+05D5><U+05DF> <U+05D9><U+05E2><U+05E7><U+05D1>",2012,322,9,55,63,17,2,35,"ZIKHRON YA'AQOV",24474,NA
"204",9300,"<U+05D6><U+05DB><U+05E8><U+05D5><U+05DF> <U+05D9><U+05E2><U+05E7><U+05D1>",2013,360,29,60,84,18,3,28,"ZIKHRON YA'AQOV",24474,NA
"205",1290,"<U+05D6><U+05DE><U+05E8>",2011,49,10,2,22,2,2,11,"ZEMER",7071,NA
"206",1290,"<U+05D6><U+05DE><U+05E8>",2012,42,8,6,17,3,1,10,"ZEMER",7071,NA
"207",1290,"<U+05D6><U+05DE><U+05E8>",2013,47,4,11,17,2,1,8,"ZEMER",7071,NA
"208",975,"<U+05D6><U+05E8><U+05D6><U+05D9><U+05E8>",2011,106,12,4,50,3,1,11,"ZARZIR",8391,NA
"209",975,"<U+05D6><U+05E8><U+05D6><U+05D9><U+05E8>",2012,88,11,2,40,5,2,12,"ZARZIR",8391,NA
"210",975,"<U+05D6><U+05E8><U+05D6><U+05D9><U+05E8>",2013,76,4,0,56,1,2,14,"ZARZIR",8391,NA
"211",6500,"<U+05D7><U+05D3><U+05E8><U+05D4>",2011,2534,298,432,559,69,38,244,"HADERA",101721,"jewish"
"212",6500,"<U+05D7><U+05D3><U+05E8><U+05D4>",2012,2298,247,411,575,78,33,258,"HADERA",101721,"jewish"
"213",6500,"<U+05D7><U+05D3><U+05E8><U+05D4>",2013,2186,253,369,658,73,13,316,"HADERA",101721,"jewish"
"214",6600,"<U+05D7><U+05D5><U+05DC><U+05D5><U+05DF>",2011,3760,422,475,835,76,50,666,"HOLON",210555,"jewish"
"215",6600,"<U+05D7><U+05D5><U+05DC><U+05D5><U+05DF>",2012,3396,409,373,799,82,71,641,"HOLON",210555,"jewish"
"216",6600,"<U+05D7><U+05D5><U+05DC><U+05D5><U+05DF>",2013,3602,445,399,890,95,54,640,"HOLON",210555,"jewish"
"217",1303,"<U+05D7><U+05D5><U+05E8><U+05D4>",2011,91,2,9,52,3,2,5,"HURA",16451,"arab"
"218",1303,"<U+05D7><U+05D5><U+05E8><U+05D4>",2012,69,4,3,57,1,3,15,"HURA",16451,"arab"
"219",1303,"<U+05D7><U+05D5><U+05E8><U+05D4>",2013,96,3,6,52,3,6,27,"HURA",16451,"arab"
"220",4000,"<U+05D7><U+05D9><U+05E4><U+05D4>",2011,9656,603,1495,2357,175,211,1121,"HAIFA",320469,"mixed"
"221",4000,"<U+05D7><U+05D9><U+05E4><U+05D4>",2012,9472,591,1393,2075,192,196,1067,"HAIFA",320469,"mixed"
"222",4000,"<U+05D7><U+05D9><U+05E4><U+05D4>",2013,8264,437,1275,2029,191,162,1062,"HAIFA",320469,"mixed"
"223",2034,"<U+05D7><U+05E6> <U+05D4><U+05D2><U+05DC><U+05D9><U+05DC><U+05D9><U+05EA>",2011,157,4,40,66,6,1,30,"HAZOR HAGELILIT",10251,"jewish"
"224",2034,"<U+05D7><U+05E6> <U+05D4><U+05D2><U+05DC><U+05D9><U+05DC><U+05D9><U+05EA>",2012,134,5,29,49,3,0,33,"HAZOR HAGELILIT",10251,"jewish"
"225",2034,"<U+05D7><U+05E6> <U+05D4><U+05D2><U+05DC><U+05D9><U+05DC><U+05D9><U+05EA>",2013,123,4,37,45,10,0,24,"HAZOR HAGELILIT",10251,"jewish"
"226",1247,"<U+05D7><U+05E8><U+05D9><U+05E9>",2011,72,5,25,26,0,0,13,"HARISH",4115,NA
"227",1247,"<U+05D7><U+05E8><U+05D9><U+05E9>",2012,31,6,3,12,2,0,6,"HARISH",4115,NA
"228",1247,"<U+05D7><U+05E8><U+05D9><U+05E9>",2013,17,2,4,3,1,0,3,"HARISH",4115,NA
"229",496,"<U+05D7><U+05E8><U+05E4><U+05D9><U+05E9>",2011,19,0,0,13,0,0,5,"HURFEISH",6468,NA
"230",496,"<U+05D7><U+05E8><U+05E4><U+05D9><U+05E9>",2012,15,0,1,10,0,0,5,"HURFEISH",6468,NA
"231",496,"<U+05D7><U+05E8><U+05E4><U+05D9><U+05E9>",2013,13,1,1,18,0,0,5,"HURFEISH",6468,NA
"232",3770,"<U+05D7><U+05E9><U+05DE><U+05D5><U+05E0><U+05D0><U+05D9><U+05DD>",2011,13,1,26,15,1,0,8,"HASHMONA'IM",3340,NA
"233",3770,"<U+05D7><U+05E9><U+05DE><U+05D5><U+05E0><U+05D0><U+05D9><U+05DD>",2012,14,0,7,7,1,0,4,"HASHMONA'IM",3340,NA
"234",3770,"<U+05D7><U+05E9><U+05DE><U+05D5><U+05E0><U+05D0><U+05D9><U+05DD>",2013,16,1,5,8,2,0,3,"HASHMONA'IM",3340,NA
"235",6700,"<U+05D8><U+05D1><U+05E8><U+05D9><U+05D4>",2011,1154,69,365,405,61,15,194,"TIBERIAS",48353,"jewish"
"236",6700,"<U+05D8><U+05D1><U+05E8><U+05D9><U+05D4>",2012,1316,79,479,407,69,13,200,"TIBERIAS",48353,"jewish"
"237",6700,"<U+05D8><U+05D1><U+05E8><U+05D9><U+05D4>",2013,1164,61,458,422,68,13,203,"TIBERIAS",48353,"jewish"
"238",962,"<U+05D8><U+05D5><U+05D1><U+05D4> <U+05D6><U+05E0><U+05D2><U+05E8><U+05D9>",2011,153,2,35,70,2,0,15,"TUBA-ZANGARIYYE",6686,NA
"239",962,"<U+05D8><U+05D5><U+05D1><U+05D4> <U+05D6><U+05E0><U+05D2><U+05E8><U+05D9>",2012,102,7,50,81,2,1,24,"TUBA-ZANGARIYYE",6686,NA
"240",962,"<U+05D8><U+05D5><U+05D1><U+05D4> <U+05D6><U+05E0><U+05D2><U+05E8><U+05D9>",2013,108,2,37,69,1,0,25,"TUBA-ZANGARIYYE",6686,NA
"241",2730,"<U+05D8><U+05D9><U+05D1><U+05D4>",2011,372,85,192,203,11,5,104,"TAYIBE",43349,"arab"
"242",2730,"<U+05D8><U+05D9><U+05D1><U+05D4>",2012,311,63,177,170,6,4,91,"TAYIBE",43349,"arab"
"243",2730,"<U+05D8><U+05D9><U+05D1><U+05D4>",2013,373,67,196,184,6,12,98,"TAYIBE",43349,"arab"
"244",2720,"<U+05D8><U+05D9><U+05E8><U+05D4>",2011,295,63,95,158,9,4,78,"TIRE",26407,"arab"
"245",2720,"<U+05D8><U+05D9><U+05E8><U+05D4>",2012,362,51,88,167,6,7,85,"TIRE",26407,"arab"
"246",2720,"<U+05D8><U+05D9><U+05E8><U+05D4>",2013,340,70,86,162,12,4,63,"TIRE",26407,"arab"
"247",2100,"<U+05D8><U+05D9><U+05E8><U+05EA> <U+05DB><U+05E8><U+05DE><U+05DC>",2011,451,21,266,190,15,5,127,"TIRAT KARMEL",23603,"jewish"
"248",2100,"<U+05D8><U+05D9><U+05E8><U+05EA> <U+05DB><U+05E8><U+05DE><U+05DC>",2012,393,9,158,173,9,6,114,"TIRAT KARMEL",23603,"jewish"
"249",2100,"<U+05D8><U+05D9><U+05E8><U+05EA> <U+05DB><U+05E8><U+05DE><U+05DC>",2013,336,10,196,194,12,1,117,"TIRAT KARMEL",23603,"jewish"
"250",3788,"<U+05D8><U+05DC><U+05DE><U+05D5><U+05DF>",2011,6,1,1,4,2,0,1,"TALMON",4498,NA
"251",3788,"<U+05D8><U+05DC><U+05DE><U+05D5><U+05DF>",2012,23,0,5,5,0,0,1,"TALMON",4498,NA
"252",3788,"<U+05D8><U+05DC><U+05DE><U+05D5><U+05DF>",2013,27,0,1,4,2,0,2,"TALMON",4498,NA
"253",8900,"<U+05D8><U+05DE><U+05E8><U+05D4>",2011,357,22,107,203,3,2,30,"TAMRA",33685,"arab"
"254",8900,"<U+05D8><U+05DE><U+05E8><U+05D4>",2012,324,18,101,220,4,5,51,"TAMRA",33685,"arab"
"255",8900,"<U+05D8><U+05DE><U+05E8><U+05D4>",2013,281,16,103,191,7,10,44,"TAMRA",33685,"arab"
"256",498,"<U+05D8><U+05E8><U+05E2><U+05D0><U+05DF>",2011,92,8,8,49,1,1,12,"TUR'AN",14205,NA
"257",498,"<U+05D8><U+05E8><U+05E2><U+05D0><U+05DF>",2012,79,2,9,61,0,0,16,"TUR'AN",14205,NA
"258",498,"<U+05D8><U+05E8><U+05E2><U+05D0><U+05DF>",2013,77,3,46,73,4,0,20,"TUR'AN",14205,NA
"259",1295,"<U+05D9><U+05D0><U+05E0><U+05D5><U+05D7>-<U+05D2>'<U+05EA>",2011,32,1,4,21,0,0,10,"YANUH-JAT",6569,NA
"260",1295,"<U+05D9><U+05D0><U+05E0><U+05D5><U+05D7>-<U+05D2>'<U+05EA>",2012,18,0,0,10,1,0,3,"YANUH-JAT",6569,NA
"261",1295,"<U+05D9><U+05D0><U+05E0><U+05D5><U+05D7>-<U+05D2>'<U+05EA>",2013,14,0,3,10,0,0,9,"YANUH-JAT",6569,NA
"262",46,"<U+05D9><U+05D1><U+05E0><U+05D0><U+05DC>",2011,75,9,73,17,2,1,11,"YAVNE'EL",4364,NA
"263",46,"<U+05D9><U+05D1><U+05E0><U+05D0><U+05DC>",2012,78,3,9,15,5,1,11,"YAVNE'EL",4364,NA
"264",46,"<U+05D9><U+05D1><U+05E0><U+05D0><U+05DC>",2013,58,4,48,21,0,0,11,"YAVNE'EL",4364,NA
"265",2660,"<U+05D9><U+05D1><U+05E0><U+05D4>",2011,733,91,53,157,20,6,119,"YAVNE",47756,"jewish"
"266",2660,"<U+05D9><U+05D1><U+05E0><U+05D4>",2012,791,91,69,152,72,4,120,"YAVNE",47756,"jewish"
"267",2660,"<U+05D9><U+05D1><U+05E0><U+05D4>",2013,667,112,80,170,18,8,132,"YAVNE",47756,"jewish"
"268",577,"<U+05D9><U+05D3> <U+05D1><U+05E0><U+05D9><U+05DE><U+05D9><U+05DF>",2011,33,5,1,4,0,0,1,"YAD BINYAMIN",4322,NA
"269",577,"<U+05D9><U+05D3> <U+05D1><U+05E0><U+05D9><U+05DE><U+05D9><U+05DF>",2012,66,9,0,3,0,0,1,"YAD BINYAMIN",4322,NA
"270",577,"<U+05D9><U+05D3> <U+05D1><U+05E0><U+05D9><U+05DE><U+05D9><U+05DF>",2013,30,2,0,1,0,0,1,"YAD BINYAMIN",4322,NA
"271",9400,"<U+05D9><U+05D4><U+05D5><U+05D3>",2011,471,72,71,122,14,1,88,"YEHUD-MONOSON",31703,NA
"272",9400,"<U+05D9><U+05D4><U+05D5><U+05D3>",2012,522,96,67,96,9,5,66,"YEHUD-MONOSON",31703,NA
"273",9400,"<U+05D9><U+05D4><U+05D5><U+05D3>",2013,485,87,57,103,17,5,70,"YEHUD-MONOSON",31703,NA
"274",499,"<U+05D9><U+05E4><U+05D9><U+05E2>",2011,97,7,29,65,1,1,15,"YAFI",19090,"arab"
"275",499,"<U+05D9><U+05E4><U+05D9><U+05E2>",2012,113,10,49,72,2,0,18,"YAFI",19090,"arab"
"276",499,"<U+05D9><U+05E4><U+05D9><U+05E2>",2013,95,9,74,67,3,2,13,"YAFI",19090,"arab"
"277",240,"<U+05D9><U+05E7><U+05E0><U+05E2><U+05DD> <U+05E2><U+05DC><U+05D9><U+05EA>",2011,288,20,68,91,11,1,40,"YOQNE'AM ILLIT",24674,NA
"278",240,"<U+05D9><U+05E7><U+05E0><U+05E2><U+05DD> <U+05E2><U+05DC><U+05D9><U+05EA>",2012,273,28,33,61,15,0,31,"YOQNE'AM ILLIT",24674,NA
"279",240,"<U+05D9><U+05E7><U+05E0><U+05E2><U+05DD> <U+05E2><U+05DC><U+05D9><U+05EA>",2013,302,22,59,90,10,4,43,"YOQNE'AM ILLIT",24674,NA
"280",831,"<U+05D9><U+05E8><U+05D5><U+05D7><U+05DD>",2011,177,16,51,34,3,0,22,"YEROHAM",10657,NA
"281",831,"<U+05D9><U+05E8><U+05D5><U+05D7><U+05DD>",2012,180,13,54,36,8,3,24,"YEROHAM",10657,NA
"282",831,"<U+05D9><U+05E8><U+05D5><U+05D7><U+05DD>",2013,123,8,25,44,6,0,27,"YEROHAM",10657,NA
"283",3000,"<U+05D9><U+05E8><U+05D5><U+05E9><U+05DC><U+05D9><U+05DD>",2011,12309,2921,2210,4583,493,179,1326,"JERUSALEM",975789,"mixed"
"284",3000,"<U+05D9><U+05E8><U+05D5><U+05E9><U+05DC><U+05D9><U+05DD>",2012,12451,2681,2061,4491,584,182,1287,"JERUSALEM",975789,"mixed"
"285",3000,"<U+05D9><U+05E8><U+05D5><U+05E9><U+05DC><U+05D9><U+05DD>",2013,13505,2478,1654,4991,566,242,1488,"JERUSALEM",975789,"mixed"
"286",502,"<U+05D9><U+05E8><U+05DB><U+05D0>",2011,45,1,48,46,2,1,17,"YIRKA",15604,NA
"287",502,"<U+05D9><U+05E8><U+05DB><U+05D0>",2012,72,3,38,50,1,1,14,"YIRKA",15604,NA
"288",502,"<U+05D9><U+05E8><U+05DB><U+05D0>",2013,70,2,39,53,5,0,12,"YIRKA",15604,NA
"289",3796,"<U+05DB> <U+05D4><U+05D0><U+05D5><U+05E8><U+05E0><U+05D9><U+05DD>",2011,7,0,0,3,0,0,1,"KEFAR HAORANIM",2505,NA
"290",3796,"<U+05DB> <U+05D4><U+05D0><U+05D5><U+05E8><U+05E0><U+05D9><U+05DD>",2012,11,0,1,3,0,0,3,"KEFAR HAORANIM",2505,NA
"291",3796,"<U+05DB> <U+05D4><U+05D0><U+05D5><U+05E8><U+05E0><U+05D9><U+05DD>",2013,5,0,0,4,0,0,5,"KEFAR HAORANIM",2505,NA
"292",504,"<U+05DB><U+05D0><U+05D1><U+05D5><U+05DC>",2011,62,3,43,53,0,4,10,"KABUL",11997,NA
"293",504,"<U+05DB><U+05D0><U+05D1><U+05D5><U+05DC>",2012,53,1,55,48,1,2,16,"KABUL",11997,NA
"294",504,"<U+05DB><U+05D0><U+05D1><U+05D5><U+05DC>",2013,62,5,18,37,3,1,13,"KABUL",11997,NA
"295",505,"<U+05DB><U+05D5><U+05DB><U+05D1>",2011,17,2,6,11,0,0,1,"KAOKAB ABU AL-HIJA",3827,"jewish"
"296",505,"<U+05DB><U+05D5><U+05DB><U+05D1>",2012,14,1,6,6,0,0,0,"KAOKAB ABU AL-HIJA",3827,"jewish"
"297",505,"<U+05DB><U+05D5><U+05DB><U+05D1>",2013,14,0,7,11,0,1,6,"KAOKAB ABU AL-HIJA",3827,"jewish"
"298",1224,"<U+05DB><U+05D5><U+05DB><U+05D1> <U+05D9><U+05D0><U+05D9><U+05E8>",2011,135,14,2,22,1,0,7,"KOKHAV YA'IR",10310,NA
"299",1224,"<U+05DB><U+05D5><U+05DB><U+05D1> <U+05D9><U+05D0><U+05D9><U+05E8>",2012,167,10,8,15,3,1,23,"KOKHAV YA'IR",10310,NA
"300",1224,"<U+05DB><U+05D5><U+05DB><U+05D1> <U+05D9><U+05D0><U+05D9><U+05E8>",2013,147,8,21,13,2,0,14,"KOKHAV YA'IR",10310,NA
"301",3779,"<U+05DB><U+05D5><U+05DB><U+05D1> <U+05D9><U+05E2><U+05E7><U+05D1>",2011,59,5,3,17,3,0,10,"KOKHAV YA'AQOV",8399,NA
"302",3779,"<U+05DB><U+05D5><U+05DB><U+05D1> <U+05D9><U+05E2><U+05E7><U+05D1>",2012,53,8,2,31,8,0,22,"KOKHAV YA'AQOV",8399,NA
"303",3779,"<U+05DB><U+05D5><U+05DB><U+05D1> <U+05D9><U+05E2><U+05E7><U+05D1>",2013,48,5,0,24,8,0,11,"KOKHAV YA'AQOV",8399,NA
"304",1059,"<U+05DB><U+05E1><U+05D9><U+05E4><U+05D4>",2011,54,3,3,25,1,0,5,"KUSEIFE",16409,NA
"305",1059,"<U+05DB><U+05E1><U+05D9><U+05E4><U+05D4>",2012,44,4,3,37,2,1,5,"KUSEIFE",16409,NA
"306",1059,"<U+05DB><U+05E1><U+05D9><U+05E4><U+05D4>",2013,48,4,0,55,2,0,16,"KUSEIFE",16409,NA
"307",1296,"<U+05DB><U+05E1><U+05E8><U+05D0>-<U+05E1><U+05DE><U+05D9><U+05E2>",2011,19,0,0,16,2,0,11,"KISRA-SUMEI",8633,NA
"308",1296,"<U+05DB><U+05E1><U+05E8><U+05D0>-<U+05E1><U+05DE><U+05D9><U+05E2>",2012,16,0,8,18,1,0,8,"KISRA-SUMEI",8633,NA
"309",1296,"<U+05DB><U+05E1><U+05E8><U+05D0>-<U+05E1><U+05DE><U+05D9><U+05E2>",2013,23,0,12,14,4,0,12,"KISRA-SUMEI",8633,NA
"310",978,"<U+05DB><U+05E2><U+05D1><U+05D9>-<U+05D8><U+05D1>-<U+05D7><U+05D2>",2011,48,1,1,24,1,1,5,"KA'ABIYYE-TABBASH-HA",5637,NA
"311",978,"<U+05DB><U+05E2><U+05D1><U+05D9>-<U+05D8><U+05D1>-<U+05D7><U+05D2>",2012,38,1,5,22,0,0,6,"KA'ABIYYE-TABBASH-HA",5637,NA
"312",978,"<U+05DB><U+05E2><U+05D1><U+05D9>-<U+05D8><U+05D1>-<U+05D7><U+05D2>",2013,31,3,2,31,1,0,7,"KA'ABIYYE-TABBASH-HA",5637,NA
"313",3638,"<U+05DB><U+05E4><U+05E8> <U+05D0><U+05D3><U+05DE><U+05D9><U+05DD>",2011,48,6,15,4,2,1,2,"KEFAR ADUMMIM",4368,NA
"314",3638,"<U+05DB><U+05E4><U+05E8> <U+05D0><U+05D3><U+05DE><U+05D9><U+05DD>",2012,67,5,68,13,1,1,7,"KEFAR ADUMMIM",4368,NA
"315",3638,"<U+05DB><U+05E4><U+05E8> <U+05D0><U+05D3><U+05DE><U+05D9><U+05DD>",2013,46,1,84,7,4,1,9,"KEFAR ADUMMIM",4368,NA
"316",633,"<U+05DB><U+05E4><U+05E8> <U+05D1><U+05E8><U+05D0>",2011,37,2,7,16,1,1,9,"KAFAR BARA",3749,"arab"
"317",633,"<U+05DB><U+05E4><U+05E8> <U+05D1><U+05E8><U+05D0>",2012,36,6,7,15,1,1,5,"KAFAR BARA",3749,"arab"
"318",633,"<U+05DB><U+05E4><U+05E8> <U+05D1><U+05E8><U+05D0>",2013,40,2,8,21,0,1,14,"KAFAR BARA",3749,"arab"
"319",1263,"<U+05DB><U+05E4><U+05E8> <U+05D5><U+05E8><U+05D3><U+05D9><U+05DD>",2011,92,0,17,14,3,0,4,"KEFAR WERADIM",6217,NA
"320",1263,"<U+05DB><U+05E4><U+05E8> <U+05D5><U+05E8><U+05D3><U+05D9><U+05DD>",2012,70,2,13,5,1,0,1,"KEFAR WERADIM",6217,NA
"321",1263,"<U+05DB><U+05E4><U+05E8> <U+05D5><U+05E8><U+05D3><U+05D9><U+05DD>",2013,63,2,17,11,1,0,9,"KEFAR WERADIM",6217,NA
"322",696,"<U+05DB><U+05E4><U+05E8> <U+05D7><U+05D1>""<U+05D3>",2011,43,1,0,12,4,0,4,"KEFAR HABAD",7508,NA
"323",696,"<U+05DB><U+05E4><U+05E8> <U+05D7><U+05D1>""<U+05D3>",2012,59,8,5,13,4,0,6,"KEFAR HABAD",7508,NA
"324",696,"<U+05DB><U+05E4><U+05E8> <U+05D7><U+05D1>""<U+05D3>",2013,39,4,1,11,4,1,2,"KEFAR HABAD",7508,NA
"325",507,"<U+05DB><U+05E4><U+05E8> <U+05D9><U+05D0><U+05E1><U+05D9><U+05E3>",2011,99,3,234,52,3,1,14,"KAFAR YASIF",10770,"arab"
"326",507,"<U+05DB><U+05E4><U+05E8> <U+05D9><U+05D0><U+05E1><U+05D9><U+05E3>",2012,56,5,95,61,2,2,22,"KAFAR YASIF",10770,"arab"
"327",507,"<U+05DB><U+05E4><U+05E8> <U+05D9><U+05D0><U+05E1><U+05D9><U+05E3>",2013,68,4,89,46,2,3,17,"KAFAR YASIF",10770,"arab"
"328",168,"<U+05DB><U+05E4><U+05E8> <U+05D9><U+05D5><U+05E0><U+05D4>",2011,401,83,45,74,6,2,39,"KEFAR YONA",22347,NA
"329",168,"<U+05DB><U+05E4><U+05E8> <U+05D9><U+05D5><U+05E0><U+05D4>",2012,370,78,43,104,11,0,79,"KEFAR YONA",22347,NA
"330",168,"<U+05DB><U+05E4><U+05E8> <U+05D9><U+05D5><U+05E0><U+05D4>",2013,368,77,58,80,10,4,83,"KEFAR YONA",22347,NA
"331",508,"<U+05DB><U+05E4><U+05E8> <U+05DB><U+05DE><U+05D0>",2011,5,0,0,5,1,0,1,"KAFAR KAMA",3407,NA
"332",508,"<U+05DB><U+05E4><U+05E8> <U+05DB><U+05DE><U+05D0>",2012,10,0,0,0,0,0,1,"KAFAR KAMA",3407,NA
"333",508,"<U+05DB><U+05E4><U+05E8> <U+05DB><U+05DE><U+05D0>",2013,10,0,0,8,0,0,3,"KAFAR KAMA",3407,NA
"334",509,"<U+05DB><U+05E4><U+05E8> <U+05DB><U+05E0><U+05D0>",2011,80,7,18,62,0,1,11,"KAFAR KANNA",22305,NA
"335",509,"<U+05DB><U+05E4><U+05E8> <U+05DB><U+05E0><U+05D0>",2012,79,4,44,88,4,1,20,"KAFAR KANNA",22305,NA
"336",509,"<U+05DB><U+05E4><U+05E8> <U+05DB><U+05E0><U+05D0>",2013,116,3,82,85,1,1,22,"KAFAR KANNA",22305,NA
"337",510,"<U+05DB><U+05E4><U+05E8> <U+05DE><U+05E0><U+05D3><U+05D0>",2011,88,3,85,62,3,1,19,"KAFAR MANDA",19674,"arab"
"338",510,"<U+05DB><U+05E4><U+05E8> <U+05DE><U+05E0><U+05D3><U+05D0>",2012,80,0,110,78,3,0,15,"KAFAR MANDA",19674,"arab"
"339",510,"<U+05DB><U+05E4><U+05E8> <U+05DE><U+05E0><U+05D3><U+05D0>",2013,97,5,125,75,5,3,25,"KAFAR MANDA",19674,"arab"
"340",512,"<U+05DB><U+05E4><U+05E8> <U+05DE><U+05E6><U+05E8>",2011,16,4,1,4,1,0,1,"KAFAR MISR",2739,NA
"341",512,"<U+05DB><U+05E4><U+05E8> <U+05DE><U+05E6><U+05E8>",2012,8,1,0,6,0,0,0,"KAFAR MISR",2739,NA
"342",512,"<U+05DB><U+05E4><U+05E8> <U+05DE><U+05E6><U+05E8>",2013,17,1,0,4,1,0,0,"KAFAR MISR",2739,NA
"343",6900,"<U+05DB><U+05E4><U+05E8> <U+05E1><U+05D1><U+05D0>",2011,2168,524,111,372,62,16,234,"KEFAR SAVA",108886,"jewish"
"344",6900,"<U+05DB><U+05E4><U+05E8> <U+05E1><U+05D1><U+05D0>",2012,2219,567,105,366,57,20,229,"KEFAR SAVA",108886,"jewish"
"345",6900,"<U+05DB><U+05E4><U+05E8> <U+05E1><U+05D1><U+05D0>",2013,2187,527,97,348,67,14,225,"KEFAR SAVA",108886,"jewish"
